,expt_id,Group,group_id,invRT,Trial,participant_id,response_correct,response_name,response_rt,stimuli_presented,trial_template,trial_duration,PartBlocks,AllBlocks,Pattern,trial_num,PB,Final,Part,Correct
562,,DispreferenceFirst,dispreferenceFirst,-0.6925207756232687,,,,,1444,gotebe,,513917,,,Voicing,585,b,NonFinal,,
193,,DispreferenceFirst,dispreferenceFirst,-0.5083884087442806,,,,,1967,pigebe,,382124,,,Voicing,216,b,NonFinal,,
426,,DispreferenceFirst,dispreferenceFirst,-0.9718172983479106,,,,,1029,bogeb,,266373,,,Voicing,449,b,Final,,
832,,DispreferenceFirst,dispreferenceFirst_inverse,-0.56657223796034,,,,,1765,bikub,,375904,,,Voicing,855,b,Final,,
949,,DispreferenceFirst,dispreferenceFirst,-0.3566333808844508,,,,,2804,,,336900,,,Devoicing,972,,Final,,
843,,DispreferenceFirst,dispreferenceFirst_inverse,-0.7627765064836003,,,,,1311,potipe,,392001,,,Devoicing,866,p,NonFinal,,
829,,DispreferenceFirst,dispreferenceFirst_inverse,-0.6305170239596469,,,,,1586,pidope,,371325,,,Devoicing,852,p,NonFinal,,
52,,DispreferenceFirst,dispreferenceFirst,-0.7251631617113851,,,,,1379,bidope,,157296,,,Devoicing,75,p,NonFinal,,
479,,DispreferenceFirst,dispreferenceFirst,-0.9578544061302682,,,,,1044,goteb,,350768,,,Voicing,502,b,Final,,
1001,,DispreferenceFirst,dispreferenceFirst,-0.6978367062107467,,,,,1433,degope,,429802,,,Devoicing,1024,p,NonFinal,,
320,,DispreferenceFirst,dispreferenceFirst,-0.5524861878453039,,,,,1810,pidobe,,599754,,,Voicing,343,b,NonFinal,,
334,,DispreferenceFirst,dispreferenceFirst,-0.6939625260235948,,,,,1441,pigeb,,114481,,,Voicing,357,b,Final,,
507,,DispreferenceFirst,dispreferenceFirst,-0.6747638326585695,,,,,1482,todube,,403918,,,Voicing,530,b,NonFinal,,
40,,DispreferenceFirst,dispreferenceFirst,-0.7304601899196493,,,,,1369,todupe,,140709,,,Devoicing,63,p,NonFinal,,
906,,DispreferenceFirst,dispreferenceFirst,-0.5899705014749262,,,,,1695,gutope,,267852,,,Devoicing,929,p,NonFinal,,
1,,DispreferenceFirst,dispreferenceFirst,-0.47778308647873863,,,,,2093,dokub,,76660,,,Voicing,24,b,Final,,
774,,DispreferenceFirst,dispreferenceFirst_inverse,-0.5238344683080147,,,,,1909,dikepe,,281781,,,Devoicing,797,p,NonFinal,,
619,,DispreferenceFirst,dispreferenceFirst,-0.8496176720475785,,,,,1177,dogibe,,599081,,,Voicing,642,b,NonFinal,,
1083,,DispreferenceFirst,dispreferenceFirst,-0.5192107995846313,,,,,1926,dikep,,623718,,,Devoicing,1106,p,Final,,
499,,DispreferenceFirst,dispreferenceFirst,-0.5521811154058531,,,,,1811,gotebe,,391290,,,Voicing,522,b,NonFinal,,
1148,,DispreferenceFirst,dispreferenceFirst,-0.40096230954290296,,,,,2494,gutobe,,745165,,,Voicing,1171,b,NonFinal,,
541,,DispreferenceFirst,dispreferenceFirst,-0.49677098857426727,,,,,2013,bogebe,,468326,,,Voicing,564,b,NonFinal,,
458,,DispreferenceFirst,dispreferenceFirst,-0.7849293563579278,,,,,1274,bogepe,,316974,,,Devoicing,481,p,NonFinal,,
162,,DispreferenceFirst,dispreferenceFirst,-0.5714285714285714,,,,,1750,pigeb,,326424,,,Voicing,185,b,Final,,
941,,DispreferenceFirst,dispreferenceFirst,-0.7686395080707148,,,,,1301,dikeb,,323742,,,Voicing,964,b,Final,,
266,,DispreferenceFirst,dispreferenceFirst,-0.8598452278589854,,,,,1163,pigep,,507781,,,Devoicing,289,p,Final,,
66,,DispreferenceFirst,dispreferenceFirst,-0.25195263290501385,,,,,3969,,,180561,,,Devoicing,89,,Final,,
457,,DispreferenceFirst,dispreferenceFirst,-0.8525149190110827,,,,,1173,gutope,,315464,,,Devoicing,480,p,NonFinal,,
170,,DispreferenceFirst,dispreferenceFirst,-1.1737089201877935,,,,,852,dokup,,338932,,,Devoicing,193,p,Final,,
48,,DispreferenceFirst,dispreferenceFirst,-0.9699321047526673,,,,,1031,bogeb,,151947,,,Voicing,71,b,Final,,
727,,DispreferenceFirst,dispreferenceFirst_inverse,-0.7407407407407407,,,,,1350,bogepe,,203466,,,Devoicing,750,p,NonFinal,,
679,,DispreferenceFirst,dispreferenceFirst_inverse,-1.2578616352201257,,,,,795,typo,,111473,,,Devoicing,702,p,NonFinal,,
791,,DispreferenceFirst,dispreferenceFirst_inverse,-0.8453085376162299,,,,,1183,dogipe,,309796,,,Devoicing,814,p,NonFinal,,
429,,DispreferenceFirst,dispreferenceFirst,-0.08616232982939859,,,,,11606,,,279621,,,Devoicing,452,,Final,,
947,,DispreferenceFirst,dispreferenceFirst,-0.8779631255487269,,,,,1139,dogipe,,333850,,,Devoicing,970,p,NonFinal,,
719,,DispreferenceFirst,dispreferenceFirst_inverse,-0.5141388174807198,,,,,1945,dogib,,191818,,,Voicing,742,b,Final,,
893,,DispreferenceFirst,dispreferenceFirst,-0.8382229673093042,,,,,1193,potib,,246896,,,Voicing,916,b,Final,,
412,,DispreferenceFirst,dispreferenceFirst,-37.03703703703704,,,,,27,todub,,247996,,,Voicing,435,b,Final,,
33,,DispreferenceFirst,dispreferenceFirst,-0.16276041666666666,,,,,6144,,,130380,,,Devoicing,56,,Final,,
965,,DispreferenceFirst,dispreferenceFirst,-1.037344398340249,,,,,964,degob,,367784,,,Voicing,988,b,Final,,
1008,,DispreferenceFirst,dispreferenceFirst,-0.9442870632672332,,,,,1059,todupe,,443010,,,Devoicing,1031,p,NonFinal,,
582,,DispreferenceFirst,dispreferenceFirst,-1.0298661174047374,,,,,971,degop,,546131,,,Devoicing,605,p,Final,,
978,,DispreferenceFirst,dispreferenceFirst,-0.9354536950420954,,,,,1069,bugib,,387860,,,Voicing,1001,b,Final,,
897,,DispreferenceFirst,dispreferenceFirst,-0.9199632014719411,,,,,1087,bugipe,,253534,,,Devoicing,920,p,NonFinal,,
728,,DispreferenceFirst,dispreferenceFirst_inverse,-0.7733952049497294,,,,,1293,bugib,,204956,,,Voicing,751,b,Final,,
1108,,DispreferenceFirst,dispreferenceFirst,-0.43459365493263796,,,,,2301,gotebe,,678687,,,Voicing,1131,b,NonFinal,,
459,,DispreferenceFirst,dispreferenceFirst,-1.0080645161290323,,,,,992,bidob,,318124,,,Voicing,482,b,Final,,
653,,DispreferenceFirst,dispreferenceFirst,-0.9442870632672332,,,,,1059,bidobe,,643593,,,Voicing,676,b,NonFinal,,
229,,DispreferenceFirst,dispreferenceFirst,-0.3522367030644593,,,,,2839,todube,,447092,,,Voicing,252,b,NonFinal,,
985,,DispreferenceFirst,dispreferenceFirst,-0.9478672985781991,,,,,1055,potib,,398438,,,Voicing,1008,b,Final,,
164,,DispreferenceFirst,dispreferenceFirst,-0.6939625260235948,,,,,1441,dogipe,,329494,,,Devoicing,187,p,NonFinal,,
343,,DispreferenceFirst,dispreferenceFirst,-0.7479431563201197,,,,,1337,pidope,,127649,,,Devoicing,366,p,NonFinal,,
716,,DispreferenceFirst,dispreferenceFirst_inverse,-1.001001001001001,,,,,999,todib,,186859,,,Voicing,739,b,Final,,
197,,DispreferenceFirst,dispreferenceFirst,-0.4528985507246377,,,,,2208,pidobe,,389803,,,Voicing,220,b,NonFinal,,
609,,DispreferenceFirst,dispreferenceFirst,-0.8547008547008547,,,,,1170,bugibe,,585444,,,Voicing,632,b,NonFinal,,
2,,DispreferenceFirst,dispreferenceFirst,-0.5910165484633569,,,,,1692,bidope,,78540,,,Devoicing,25,p,NonFinal,,
1178,,DispreferenceFirst,dispreferenceFirst,-0.7429420505200595,,,,,1346,bidop,,796595,,,Devoicing,1201,p,Final,,
1136,,DispreferenceFirst,dispreferenceFirst,-0.46511627906976744,,,,,2150,potip,,726039,,,Devoicing,1159,p,Final,,
849,,DispreferenceFirst,dispreferenceFirst_inverse,-0.1392369813422445,,,,,7182,,,622929,,,Devoicing,872,,Final,,
425,,DispreferenceFirst,dispreferenceFirst,-0.8673026886383348,,,,,1153,gotepe,,265163,,,Devoicing,448,p,NonFinal,,
767,,DispreferenceFirst,dispreferenceFirst_inverse,-0.7256894049346879,,,,,1378,dokupe,,269784,,,Devoicing,790,p,NonFinal,,
1002,,DispreferenceFirst,dispreferenceFirst,-0.7062146892655368,,,,,1416,dokub,,431372,,,Voicing,1025,b,Final,,
318,,DispreferenceFirst,dispreferenceFirst,-0.5263157894736842,,,,,1900,bidobe,,596285,,,Voicing,341,b,NonFinal,,
733,,DispreferenceFirst,dispreferenceFirst_inverse,-0.5534034311012729,,,,,1807,gutope,,213124,,,Devoicing,756,p,NonFinal,,
136,,DispreferenceFirst,dispreferenceFirst,-0.6934812760055479,,,,,1442,todipe,,287571,,,Devoicing,159,p,NonFinal,,
1161,,DispreferenceFirst,dispreferenceFirst,-0.3904724716907458,,,,,2561,bikup,,766111,,,Devoicing,1184,p,Final,,
875,,DispreferenceFirst,dispreferenceFirst,-0.8210180623973727,,,,,1218,todupe,,215751,,,Devoicing,898,p,NonFinal,,
649,,DispreferenceFirst,dispreferenceFirst,-0.7027406886858749,,,,,1423,pidobe,,638694,,,Voicing,672,b,NonFinal,,
914,,DispreferenceFirst,dispreferenceFirst,-0.6257822277847309,,,,,1598,bogepe,,279970,,,Devoicing,937,p,NonFinal,,
970,,DispreferenceFirst,dispreferenceFirst,-0.44228217602830605,,,,,2261,dikeb,,375562,,,Voicing,993,b,Final,,
605,,DispreferenceFirst,dispreferenceFirst,-0.7440476190476191,,,,,1344,bidop,,579865,,,Devoicing,628,p,Final,,
368,,DispreferenceFirst,dispreferenceFirst,-0.9149130832570905,,,,,1093,todub,,172001,,,Voicing,391,b,Final,,
690,,DispreferenceFirst,dispreferenceFirst_inverse,-0.8077544426494345,,,,,1238,tekub,,135869,,,Voicing,713,b,Final,,
295,,DispreferenceFirst,dispreferenceFirst,-0.5837711617046117,,,,,1713,degop,,555972,,,Devoicing,318,p,Final,,
625,,DispreferenceFirst,dispreferenceFirst,-0.8857395925597874,,,,,1129,potibe,,607260,,,Voicing,648,b,NonFinal,,
361,,DispreferenceFirst,dispreferenceFirst,-0.856898029134533,,,,,1167,gutob,,152374,,,Voicing,384,b,Final,,
494,,DispreferenceFirst,dispreferenceFirst,-0.5608524957936063,,,,,1783,pidob,,372264,,,Voicing,517,b,Final,,
1149,,DispreferenceFirst,dispreferenceFirst,-0.8598452278589854,,,,,1163,gutop,,746484,,,Devoicing,1172,p,Final,,
781,,DispreferenceFirst,dispreferenceFirst_inverse,-0.8271298593879239,,,,,1209,bugipe,,296589,,,Devoicing,804,p,NonFinal,,
1062,,DispreferenceFirst,dispreferenceFirst,-0.41841004184100417,,,,,2390,gotebe,,579915,,,Voicing,1085,b,NonFinal,,
139,,DispreferenceFirst,dispreferenceFirst,-0.5980861244019139,,,,,1672,todib,,291861,,,Voicing,162,b,Final,,
288,,DispreferenceFirst,dispreferenceFirst,-0.724112961622013,,,,,1381,potibe,,542695,,,Voicing,311,b,NonFinal,,
