,expt_id,Group,group_id,invRT,Trial,participant_id,response_correct,response_name,response_rt,stimuli_presented,trial_template,trial_duration,PartBlocks,AllBlocks,Pattern,trial_num,PB,Final,Part,Correct
501,,DispreferenceFirst,dispreferenceFirst,-0.6574621959237343,,,,,1521,bogebe,,395069,,,Voicing,524,b,NonFinal,,
460,,DispreferenceFirst,dispreferenceFirst,-0.7727975270479135,,,,,1294,bikube,,319563,,,Devoicing,483,p,NonFinal,,
806,,DispreferenceFirst,dispreferenceFirst_inverse,-0.8517887563884157,,,,,1174,gotepe,,330533,,,Devoicing,829,p,NonFinal,,
532,,DispreferenceFirst,dispreferenceFirst,-0.8880994671403197,,,,,1126,tekup,,454928,,,Devoicing,555,p,Final,,
570,,DispreferenceFirst,dispreferenceFirst,-0.9149130832570905,,,,,1093,dikep,,528025,,,Devoicing,593,p,Final,,
404,,DispreferenceFirst,dispreferenceFirst,-0.8613264427217916,,,,,1161,bugipe,,238288,,,Devoicing,427,p,NonFinal,,
885,,DispreferenceFirst,dispreferenceFirst,-0.5485463521667581,,,,,1823,pidob,,235069,,,Voicing,908,b,Final,,
9,,DispreferenceFirst,dispreferenceFirst,-0.5399568034557235,,,,,1852,todib,,90548,,,Voicing,32,b,Final,,
395,,DispreferenceFirst,dispreferenceFirst,-0.7117437722419929,,,,,1405,bikube,,207844,,,Devoicing,418,p,NonFinal,,
63,,DispreferenceFirst,dispreferenceFirst,-0.7127583749109052,,,,,1403,gotepe,,174812,,,Devoicing,86,p,NonFinal,,
227,,DispreferenceFirst,dispreferenceFirst,-0.4604051565377532,,,,,2172,potip,,442753,,,Devoicing,250,p,Final,,
1160,,DispreferenceFirst,dispreferenceFirst,-0.7194244604316546,,,,,1390,todip,,763391,,,Devoicing,1183,p,Final,,
87,,DispreferenceFirst,dispreferenceFirst,-0.6578947368421053,,,,,1520,gutope,,212265,,,Devoicing,110,p,NonFinal,,
1106,,DispreferenceFirst,dispreferenceFirst,-0.7407407407407407,,,,,1350,tekube,,674808,,,Voicing,1129,b,NonFinal,,
90,,DispreferenceFirst,dispreferenceFirst,-0.8312551953449709,,,,,1203,todub,,216775,,,Voicing,113,b,Final,,
655,,DispreferenceFirst,dispreferenceFirst,-0.7993605115907274,,,,,1251,dogibe,,646423,,,Voicing,678,b,NonFinal,,
828,,DispreferenceFirst,dispreferenceFirst_inverse,-0.3453038674033149,,,,,2896,degope,,369585,,,Devoicing,851,p,NonFinal,,
579,,DispreferenceFirst,dispreferenceFirst,-1.001001001001001,,,,,999,gutobe,,542262,,,Voicing,602,b,NonFinal,,
642,,DispreferenceFirst,dispreferenceFirst,-0.8431703204047217,,,,,1186,tekup,,629396,,,Devoicing,665,p,Final,,
171,,DispreferenceFirst,dispreferenceFirst,-0.9380863039399625,,,,,1066,todip,,340242,,,Devoicing,194,p,Final,,
160,,DispreferenceFirst,dispreferenceFirst,-0.9514747859181731,,,,,1051,todub,,323425,,,Voicing,183,b,Final,,
704,,DispreferenceFirst,dispreferenceFirst_inverse,-0.8756567425569177,,,,,1142,pigeb,,157535,,,Voicing,727,b,Final,,
753,,DispreferenceFirst,dispreferenceFirst_inverse,-0.7385524372230429,,,,,1354,potipe,,247678,,,Devoicing,776,p,NonFinal,,
